text,label
"Whole Foods Market is dynamic, nonetheless a gret kickstart job.",4
Great place to work if you get the right boss; like anywhere else.,5
"Challenging, but there wasn't any serious support or direction from upper management.",2
the workplace culture was fast paced with a top-down management style and had unsteady policies and procedures.,4
"Not a Chemical Operator 
Translation: NOT a fake review.",1
Great job is you have the patience for retail,4
Working at H&R Block has been a very positive learning experience,5
It´s just amaizing. Lot of benefitis and multicultural enviroment.,5
Too big of a company to enjoy independent work freedom,2
"A great company to work for, just expect long hours.",5
"Opportunities for advancement, but cut-throat business in the CM world.",4
Good place to work. Not as much career growth as larger companies,4
"It was great, this company always had work for me",5
The best use case of AI to help students,5
"Okay place to work, the landry's policies ruin it",4
"A really great place to work, if you're serious about it",4
A Mill built on greed and taking the most,1
It is the best of jobs and it is the worst of jobs,5
Good place to get your foot in the door,2
"Great company to work, but definitely needs some improvement",4
"Horrible management extremely disorganized lack of understanding, favoritism and bias",1
"Managers politics, your life will be hell if you are capable but not managers slave.",2
The social experiment to hire to a HR P.C. profile and not the person continues,2
"Worst job I’ve ever had, this company only cares about money.",1
Best company to work with in general insurance sector,5
Worst company on the face of the earth. A total sham,1
Why I've been an employee for over 23 years,4
"Great people, nice tech but no culture and a lot of pressure",2
Boeing has the potential to be so much greater than it is...,4
extremely pathetic environment and even worst management....hire and fire,1
Lots of IJP but less salary and too much work,4
"Great Company , proud to have worked for Nestle",5
It was fine and quite just did not see as a career.,4
A great place to work . . . 10 years ago,2
Suddenlink has given me the confidence to reach for goals and be independent.,5
"Historically a great place to work, grow & have a career, the company became stagnant under Thompson's leadership.",2
"Challenging work if you have motivation, initiative, and good communication and intercultural skills.",5
Have grown in the last 11 yrs and will continue to grow in the next 11yrs.,5
"Great place to work, but getting harder to do this in NYC",5
A good company that needs to maximize employee talent,4
Laughable Executive Management - Both Globally and in NA,1
not much room for promotion.  senior management do not listen to rest of staff,2
Has been a good experience till now. Work quality needs to be impproved.,4
it is great experience I  wood like to do,5
It's within your control to make the best of the opportunities available at Boeing.,5
Not a good  Place For a fresher to join,2
"Okay at first, but later realized it's not as good as it seems.",2
your employment will only last until they can outsource it,2
Guild is a Progressive Mortgage Lender and a Great Place to Work,5
"Great People, Positive Work Environment, World Class Design and Engineering for Water Treatment",4
Join only if you are not serious about your career,1
Majority of Team Leads / Senior Management do not have any leadership abilities.,1
"Positive, lots of opportunities with good training and development",4
Best minimum wage job you can get after tips.,5
Very poor training environment difficult training to job transition.,2
Very positive and caring company that meets challenges directly.,5
"Great entry level loan servicingjob, but pay doesn't compensate enough for workload.",4
"The Manila Investments is the most toxic and incompetent group of ""professionals""",2
"If it's a question of survival in this world , join this company.",1
Its a good company to start your career as you will get opportunities to learn different technologies,5
Inspirational and motivational place to work and learn technology.,5
Typical retail where policies are in place but never in effect,2
"Train to help custopmers, in trouble for helping customers",2
Amazing Place and a Privilege to be Part of Company,5
"Great company, great products but needs to focus on their EDGE to stay competitive",4
"First 5 years were great, last two years were nearly unbearable.",4
Not Interested in  maintaining human resources or physical assets,2
"Too much work, not enough pay and advancement depends on who you know",1
Regional and national events with iconic omnichannel department store,4
"Great place to work, but a complex administrative system",4
Toxic culture with poor leadership and no clear directive.,1
Excellent 20 years plus continuous service with most updated tools in every transition.,5
Terrible Place to Work. Management (at all levels) has no idea what they are doing.,1
Company with bags of energy and the right attitude towards its clients,4
"Fun laid back place to work, not necessarily full-filling though",4
"It's who you know, not your your work ethic.",2
Not a lot of training and you get ignored,2
Great work-life balance. Some bosses have been around for too long and excessively proud,4
"Awesome company to work for, could pay more attention to work life balance",5
Great place ro.work.as long as you never speak your own  mind,2
Mostly a great experience - loved what I did and the people I worked with,4
Not the worst. Poorly ran. Number matter before common sense. Need to train!,2
Not a good company to stay for a long time,2
Commitment to Employees is high.   The HP Way is alive.,5
"Overall a good place to get your feet wet for an engineer, but not a place for professional development.",2
Decent but still quite a difference between Zus oay,4
"If it sounds too good to be true, it is.",1
Shady Sales Tactics / Unreasonable Upper Management / Favoritism,1
Franchisees don't train you enough and then go passive aggressive,2
Its very hard for one to work in Wipro,2
"Paid well, but resources becoming more and more limited",1
Challenging and fast paced environment that is very fluid.,2
"Ok place to work, but be prepare for working with old technologies",2
Easy place to get a little extra cash and savings around the holidays on the side.,5
If you don't challange yourself in the long run you may lose your motivations,4
It's great when you get a role that fits you a tee and where you feel truly valued.,5
A great workplace if you like to be around academics,5
Not As Good As It Looks On the Outside,1
"Great place to work, despite lower take-home pay in some areas",5
I felt like I was on a sinking ship!,1
"Great benefits, beginning to shift to common sense virtual work",4
Unrealistic Expectations -  They set you up for failure,1
"Boeing became awful since merging with McDonnell Douglas, and will fail unless it can recover its engineering culture.",2
Good if you want to start a career with 0 education or experience.,1
Good for students or parents. Dead end for all others.,2
"Employee focused, professional, fun contests and perks, great products and training. Most are long term employees",5
Great work atmosphere like one big family but not an environment for high performer,4
Good Work culture and the best learning Centre for Retail,5
A good working environment. Management  is always will to work with you.,4
HQ mentality stops staff in Australia being treated equally,2
Great growing company that is adding a new building onto the site.,5
I agree to the Glassdoor Terms of Use. This review of my experience at my current or former employer is truthful.,5
1yr will give you 3yrs job experience anywhere else,1
Don't do it. There are plenty of other labs in the area if you want this career.,1
"It could get better, but it will probably get worse...",2
12hour shifts only work 36 hours 3 days a week,4
Take a knee... it's the only way to advance,2
"Good place to work, but not quick enough for ambitious professionals.",4
Had good days in wipro with my team and supervisours,5
Amazing opportunity to work in community pharmacy with a great company,5
"Great company to work, good colleagues, opportunity to grow",5
Best place to Work but not for a long term.,4
Don't join this company !! specially laterals.. too much of cut in salary.. take home is so so poor,1
Fun worked for 2 years only left because I thought the Navy could be better.,5
Good if you are the beginning of your career. Take some good things only,2
"Amazing culture, lots of room to grow, average salary",4
"My overall experience has been amazing; traveling the world, making great friends, and becoming successful",4
Prepare to be severely underpaid then outsourced or laid off.,1
"Will burn you in the first chance they get,even if you’re a “valued” employee",2
Great place for an internship and part time side job,5
Long Time Associate - Frustrated with Big Corporate Mentality,2
An interesting place to work with tremendous potential if they concentrate on integration,4
Has it's ups and downs. Management is very shaky and turnover is high.,4
Experience is good but coworkers and managers left something to be desired.,2
Sad look at the job opportunities afforded to the least in our society.,1
"Good company, long hours depending on area of business",4
"Started off with high hopes but there is no room for progression in Landscapes, and severe workload problems.",2
Former Head Office team member - would not recommend,1
Joining them in US on H1B; Beware; Read the review,2
"Overall, a good employer to work for. Modest salaries are balanced by benefits and relative job security.",4
"Some good, some not so good, with constant change without a real vision",1
Started out with outstanding leadership and since gone down hill.,2
Decent place to work if you don't mind long hours,4
"If you value your mental health, don't work at corporate advertising.",1
"Horrible management extremely disorganized lack of understanding, favoritism and bias",1
"Cs is a great place to work, especially part time.",5
Wolters Kluwer - big bureaucracy with people not really speaking to each other,2
It was very nice and good aspect for growth.,5
Worst company with worst management people especially HOTs CTO COO all mentals under one roof,1
Great Job as long as there is money in the budget for you.,4
"GAME & BELONG: Great Banter, But That's About It.",2
Giving it 1 star for the sake of it,1
In between a call center job and a big boy sales job,2
I have never been treated with such disrespect that the way I was treated at Giant Food,1
Every day was a day I'd rather be dead,1
"Zero hikes, zero promotion/ growth prospects - avoid at all costs",1
"The members are great, but leadership needs to work together to produce maximal results",2
"Great company, but business model not a good fit for me",4
"So awful, I went home and cried about it.",1
Risk Assurance Manager with specialisation in SAP security and authorisations for SAP HANA and S4,4
If you want to know people...this is the job.,1
"Poor Management, Fail to deliver on promises. Worst Sales Environment I've ever had!",1
Good company to start up with and excellent training.,5
Good Staff Collaborates Well and Does what makes sense for students,4
"I would not recommend working for this company to anyone, not even my worst enemy.",1
"India's largent engineering, Great Company to work for. Most admired company. Employees are taken care here.",5
Moving your professional and personal life to the next level,5
"Serving at a chain restaurant, nothing more nothing less. (Fun and awful at the same time)",2
New York investment Waste of time and money.  Worst place I've worked in 25 years.,1
Amazing place to sharpen skills and stretch your ability,5
"This company loves to screw with your paycheck, loves to take advantage of you, and abuses your loyalty.",1
Best place to be during your college and Early 20's,5
Excellent place to work with some of the most intelligent people in the industry,5
It is great but the pay is very less comparing to industry standards,4
It’s a big machine that doesn’t care about people… Just money,1
"A perfect company to work for, taking a great care of their employees.",5
"Not very good, low hours and minimum wage pay",2
"Many toxic people, loads of legacy projects, low salaries",1
Great company community involvement and opportunity to move up,4
A hostile work environment and lack of regard for the law.,1
My first company as a fresher out of college,4
CME culture and morale used to be fantastic with happy people. CME Group has squashed that with the megacorp environment,2
This employer will literally suck the life right out of you,1
working at Cerner is all about which team you are working for,1
A McDonald's employee is treated better than at+t treats its employees!,1
"Overall, a good place to work for a developer",4
"Perfectly suits "" Work hard, have fun and make history""",5
Good for those interested in a Retail/ Corporate career,4
"A Small ""Bootstrapped"" Company That Acts like a Corporate",1
Aimee Faucett is one of the most incompetent individuals in the region,1
"If you prefer managing up over doing good work, this is the place for you.",1
I enjoy being an enlisted member of the Air Force,4
good place for people who want to learn more about AI,4
System Administration at UNT System (ITSS) – your mileage may vary,2
Its no work at all most of the time.,1
"It's all right, but there are some bad customers",4
Work like a product technology organization in Cisco ODC,4
"The people out there, are so friendly and cooperative.",4
Excellent company to work for an get a degree!,5
Not a company to stay with in the long run,2
"A very positive, results driven environment with professionals who took their positions seriously.",4
A great opportunity to learn and grow with the company,4
Won't Work Here If I Had to Choose Again,1
Want a challenge on every level?  This is your place.,1
I've been working with them for a couple months,2
How is this lab still CAP and CLIA certified?,1
A good company to start with but you must move progress,2
Uber corporate MX - Marketing team - Great place to work!,5
Asked To Leave After I Wouldn’t Date My Supervisor,1
A rewarding career that anyone can be proud of.,5
You must be White to suceed in BATH BODY WORKS,1
"Very talented and nice team members, lacking execution focus",4
Great established company with a ton of extra benefits,5
Randstad Technologies helped me professionally by broadening my experience base and allowing me to explore.,4
"Worst job I’ve ever had, this company only cares about money.",1
Why would you hire someone who you let go in 1 month?,1
"Amazing, except when it comes to the talent referral process",4
Micromanaged CAC that is beyond fair. You will be treated like a child while having to walk on egg shells everyday.,1
Creativity dies here. Join if you want to push papers,2
good place to work if you can work at their pace,4
"Good if you are mediocre, not quite so otherwise.",2
Really enjoy the people I work with and the work that I'm doing!,5
"Great at first, but inconsistent with direction for sales team. Disappointing.",1
Very stressful environment and not made easier by poor management at my store.,2
Handling Sales and Distribution of Foods division for Pune CITY,4
It is one of the greatest oil/gas company that has wellknown Clients & subcontractors,5
Culture is much like what you would expect in a large investment bank,2
I worked at Dexter Systems (Virginia) full-time (More than 18 months),4
Let GO after 21yrs of excellent service. No evidence provided of wrong doing. No support by my current management.  Horr,1
Demoralising experience. Think long and hard before working here.,1
It was a great career following a career in the United States Navy.,4
Such a good place to work if you have a good manager,5
"well-respected, professional, well-known, leader in healthcare delivery to Indiana Hoosiers",5
Abysmal Management structure - some nice managers and people,2
Old school culture without a clue how to compete in modern business.,2
Very Good Place To Work As A Starting Job,4
Great Paycheck & You Get To Work  From Home.... But Not All That Glitters Is Gold! You have been warned!,1
Review for Autodata Solutions: Run far far away from this company,1
Great Workplace - Very Happy to be a part of it,5
Apparently HR has more say than engineers about their own career path,1
You Do Not Want to Work for this Company!!!!!!!!!,1
It has its good points and bad like any job.,5
Scary the lies and deceit from a company that processes clinical studies.,1
It's good company but if you have good bosses....,2
I obtained a great deal of knowledge for the logistics industry through my employment at Agility Logistics.,4
Being in the Air Force has only changed my life for the better.,4
As compared to other giant IT MMC's Infy takes better care of ite employees.,4
This company is a wonderful company to work for and that is why there are so many long time employees!!,4
Positive work environment with plenty of opportunity for those who enjoy sales and are willing to work for it,5
The pay is good for the area. There's a lot of hardwork,5
"The job is ok, but the management system is messed up.",2
Average company promoting itself to be premium search org,2
Strong team work and support with work balance and quality of life,4
"No salary progression or career plan, however the team atmosphere was excellent",2
Has Potential But In Need Of A Business Overhaul,2
Sage has nowhere to go but up. I hope Sue can achieve that.,2
"Regular layoffs, No new projects and technology to work",2
Started out good but ended bad.  It was out with the old and end with the new,1
"Stay away from this Company at all costs! If you get an offer, remember - they will hire anyone who is breathing.",1
"Great opportunities and great people, poor compensation and work life balance.",4
"Great job for college students, or people who night owls and enjoy working graveyard shifts.",4
If you have any self respect do NOT apply for a Job here!,1
Store manager - Run as fast as you can.,1
"Great ""WAS"" Company high on outsourcing and low on quality",2
A good starting job but not a good job for work/hime life balance,2
"Not the worst, but certainly not the best place to work......",2
good company if you are under a good manager,2
Join if you have no other option at all.,1
I am so glad I left Ultimate and started working again for a Silicon valley company.,2
Really frustrated to join and work as a BA here in Altisource.,1
"A good place for growing, but not a very competitive environment",4
Good place but salary quite low as compared to industry standards.,2
worked more than one and half an year into sales,4
They talk a good game but don't believe the hype!,2
"This is the nastiest, most unethical, out of compliance, illegal, disorganized HR environment you'd ever come across!",1
"Being a 3rd key is nice, because you pretty much have set hours",4
Absolutely no help from any of the other managers during training weeks.,2
The company is big but questionable management across the board.,2
"Bad HR, hiring, and management create an environment where it is associates vs. management",1
"Work here if you absolutely have to, otherwise please consider some other company",2
"Depending on your department, there might be no work life balance",2
No bonuses permitted for the junior staff (marketing managers etc),2
It is kind of stagnated company......Very slow growth rate,2
Good environment but sometimes boring. Lack of team activities,4
"Good for a first job, not a good career",4
Great Way to Get Foot in the Government Job Door,4
"Some very good people, some not so much, absolutely the worst company I have ever worked for.",2
"terrible place to work, lie to customers non stop",1
Very intensive and creative way to embark every employee to the company.,5
The people that actually do the work are great people. The production manager on the other hand is a complete idiot.,1
A theme park with an identity crisis that over-complicates the simple things,2
Excellent & Fun Place to Work! Values Family Obligations,5
Bad  and incompetent management at Newport Corporation Irvine CA,1
"Good company to learn with bright future, but be ready to put a lot of extra hours and live in high stress",4
The Change that has Occurred within this Company is ruining it,2
Pb and Pb2 review: If you can survive here you can excel anywhere else!,2
If you are still at HRM ...look harder to find something else,2
"little care for suggestion, progression or new ideas (McLaren Automotive not Group)",2
Pathetic Pay and Forced to Adhere to Ineffective Curriculum,1
A very engaging and diverse company committed to development and growth of its employees as well as the community.,5
"Staples is the land of opportunity! For it's associates, it's customers and it's investors!",5
"Avoid General Dynamics SATCOM Technologies Richardson, TX like the plague.",1
finance department has fools in it including the management,1
"Part-Time, Good for learning & working along with classes",5
Great place to learn product management skills but cut throat,4
It was a good experience but do not apply if your looking to make alot of money because your not going to.,5
NC State Laboratory for Public Health MLT Position Review,1
Fast paced with opportunities for experimenting with new ideas,4
Sears Has Filed For Bankruptcy in US. Its a sinking Ship now.,2
A great company fighting industry decline; cultural pros and cons,2
Good Company to learn but if you can work a lot. This company for you,4
They are very dishonest and rip people off. They don't. Care if they intentionally hurt. And kill people.,1
This is a wonderful organization to be involved with.,5
Starbucks has been such a lovely place to work.,5
"Great environment, must be dedicated and love cold calling",5
"Best Buy- Great for H.S./college years, but definitely not long-term!",2
Best company to be next on producing the next EV outside of traditional OEMs,5
"It was a 6 month co-op, and I feel I was very exposed to company politics.",4
the worst job ive ever had and ive worked for amazon,1
That is a great environment to start your IT entry level job.,4
I am a CSR (Customer Service Representative) and I acually really love my job here and my team!,5
At the beginning Deltek was a great place to work until they were sold October 2012,2
One of the worst HR environments I ever work in,1
Best place to work atleast once in a lifetime,4
"The Army provided me with the tools enabling me to construct a solid foundation, to obtain a successful career",1
"Many responsibilities. Everyday is different. Collaborate with GM, Prestige Manager and Salon Manager.",5
Come work here if you want to be talked down to and demoralized!!!  Drive home crying!! It’s the best!!!,1
Worst company for fresher with whole system is corrupt,1
NICE is not as nice as it use to be.,2
I get what I need but not what I want,4
Global organisation with a focus on care and sustainability,5
Decent Pay if you can tolerate the culture and  management,2
One of the best firms I have ever worked for!,5
You will regret working here. Do everything in your power to find another job.,1
"A lot of responsibility, not a lot of reward",2
ATL Ultrasound was great but Philips is only interested in money (not quality,2
you barely find a company that is so employee centric and easy to work with. Great experience.,5
"Terrible management, favoritism, little room to advance past team lead.",2
Company doesn't want to pay you what you are worth,1
Excellent company to work for and benefits are outstanding.,5
Data Services - Bangalore - Worst place to work,1
The name carries some weight on your resume but the company has not stayed relevant in the aerospace industry.,2
Under paid with toxic work culture - Great benefits,2
Great company if you work anywhere but retail level at banking centers,1
Great place to work and advance in your career,5
Work in group strategy supporting most critical projects in the organisation,5
"You close at 9, but expect to stay till 11:30",2
Serving the needs of the Brigham Young University campus.,4
LPN's should not be in charge in clinical setting,1
Tier 4 background check that they don't inform you about,1
Pay is good but understaffed as all places are lately.,4
"The Best Small Community Hospital, extensive services, great location, management  andstaff",5
I never been treated so bad by an employer.,2
Tax preparers with very limited tax knowledge and training,2
If you have NOTHING else going on in your life-work here,2
Work Harassment for other state persons in Department by reporting manager/department head.,1
Toxic Leadership / overworked due to constant restructuring & lack of direction,2
"Great if you are a driver, not so great otherwise",4
"Recently transferred to the new office in Denver, best decision I ever made",5
working for chase is great if you work hard!,4
"No Work life balance , management just push developers to get Work done",2
Great Company with lots of opportunities to promote quickly.  Don't believe the bad reviews.,5
Exciting place to work with great opportunities for growth.,5
Diverse working place that is a joy to work in.,5
NQAC York: The most awful place to work ever...,1
Great place to work with a good work life balance,4
"Upper management not in touch with situation ""on the ground""",2
Not the job you think it will be. Read the real reviews (the 3 stars or less ones) and be cautious.,2
"If they don't drive it into the ground, I will be surprised",4
New store in Montreal prior to pandemic (quit March 2020),1
"In the last year and a half not a positive work environment, lots of turnover.  Too much change & poor enforcement.",1
"This organization likes to lose money, it's in their DNA as is an underlying level of hypocrisy",1
Oracle is a challenging and rewarding company to work for,4
Thanks so much for supporting to working with your company,5
"Promised a college freshman 20 hours , got only 5 hours per week!",1
Cisco is one of the best companies to work for as far as work balance life.,5
"Great for some, but beware if you are in a Customer facing position",4
Accommodating company that allows growth but does not actively encourage it.,4
Transferring the employees unnecessarily and not adopting offline working methods,4
They did not tell me when I was directly exposed to COVID,2
"Great benefits, pretty decent flexibility, horrible hours, low pay",4
"""The Very Best"" is lip service.  Show me the money is the new company motto!",1
IBM culture is the best! Trust and personal responsibility in every relationship.,5
EID Internship: Great for career development w/ competitive salaries,5
Employee Friendly Policies but Double Check team for politics!,4
Your Experience Will Be Entirely Based On The Store You Work At,4
CEO only cares about keeping nurses happy. Uninvested in sales.,1
In a large company we are all just numbers to them,2
Great place to be a graduate student and researcher,5
Great job if you don't value your time or care about your own mental health.,1
I was a part-time teacher for 2 1/2 years. Training involved online courses (okay program) and some observation.,4
"Ability to learn quickly, highly responsible, and self-motivated Leadership qualities",5
"Flexible, great work-life balance; low morale, not so competitive compensation",2
constantly cut your hours and all team members are paid the same wage 5 days or 5 years,1
"Poorly run company, more concerned about their bottom line than food safety or hiring decent employees at a decent wage",1
A valuable company that doesn't show value for its employees,2
Terrible company. Please don't go by the seeded positive reviews,1
With a few changes Irvine Company could have been a great company to work for.,2
"Fast paced, always changing, challenging - best place I've ever worked",5
Senior Manager of 12 million dollars worth of equipment and 18 personnel.,5
"If you work hard, avoid Walgreens at all costs.",1
Not bad place to work.  Most people love it here,4
Worked for company over 5 years. Warehouse end of things was amazing but quite after moving to store side.,4
Not worth staying longer then 6 months.  You work harder to pay top management's wages.,1
Badly Trained Management - good stopping stone for training,2
Certain groups in the company have (0!)  ZERO work life balance but very interesting and great projects,2
All your nightmares will come true if you work here,1
good for part-time/nonserious work. not a good place for a career.,4
American-centric corporate politics shows the worst of command-and-control organisation,2
Not the best place to work- look some where else!,1
Good starter job in the industry of weight loss and nutrition,4
"Great part time work, can be a great career if relocation is possible.",2
"If I had a dollar every time  I saw mistakes were being swept under the rug or fixed with a band aid, I'd be rich",1
Core themes relating to this job title people should know. 2020 review for Merchandising,1
A bunch of malicious amateurs at the hungarian SSC,1
Lack of support and horrific conditions after major earthquake,2
"Excellent company with a great broker, beautiful office, and lots of opportunities to make money.",5
The Best Firm I have Ever Worked for in 16 years in the business,5
Best company I have worked for in the Barcelona area,5
Been with the company for a very long time. It's gone downhill as the years past.,2
A Dynamic Culture Growing Company....GREAT PLACE TO WORK! I LOVE MY JOB!!,4
"Great place to work, but very unconventional business style.",4
Good for temporarily getting good tech experience and then switching to better companies,2
working as Manager and also involved in Daily technical task's,4
Best Culture - Best Comp - Nothin gelse compares,5
The company is not fit to be in Banglore as an employer,1
"Best place to socialize and hook up, not to work",1
Not so bad....not so good...lots of change happening in the company.,2
"Better than no job, but not a good job",2
Cardinal Health is like being back in middle school,1
Wait until 2016+ to work for Schwans Home Service,1
It was a good place to start my career,5
International company with talented people and healthy corporate culture,4
Good place to work if you plan on staying awhile,4
Lots of work and very satisfying keeps you on your toes.,5
"If you enjoy a fast pace, this is your place!",5
Quicksand - Once you are in you cannot escape,1
By far the best company I have ever worked for.,5
"Excellent strategy by CEO, all is going to change now in Kewill India",4
National Instruments... overall a pretty good place to work.,4
The Training will get you over the learning curve faster,5
