text,label,label_text
Good company to work if you are really have no issues with work lofe,4,good
Hard-working Network Engineer skilled at overseeing simple to  complex company networks.,5,good
You get a diverse experience within the audit sector.,4,good
"Starbucks is a great company to work for, but not under the management in that store.",2,bad
"Loved working here, super flexible hours and great student job",5,good
Machinist and Diagnostic and repair engines for 2 and half years,1,bad
Great place to work! JLG truly cares about their people and the communities we operate in,5,good
"Great company, great benefit freat manager, but have to manage stress",5,good
You must have known person to get promotion quickly,2,bad
if you are not indian from the right cast is a waste of time for your career,1,bad
If you are not at the top you are a no-body,1,bad
"Great workplace with lot of learning opportunities, free food and friendly colleagues",5,good
Be young and fast. Have good techs  to give quick customer service. It's all about the numbers,2,bad
"We are the North Star in the financial industry, setting our standards high and shiner brighter than the rest",5,good
Managers pick favorites and upper management allows lower management free reign.,1,bad
Lots of work opportunity in terms of hours BUT negative culture,2,bad
Don't go there unless you like extremely high pressure sales and working 55-60 hours a week once you are on schedule.,1,bad
Best to be avoided if other options are available,1,bad
"I had an great experience working for the university, well paid and learned a lot",4,good
"Worthwhile, but ultimately a disappointing look at big media",2,bad
"Left with only positive memories, delighted to be back",5,good
Had a terrific experience with whole management of UMass Lowell.,5,good
Working for Autodesk is like working for a start up company with the benefits of a grown company.,5,good
"Great floor staff, but some depts have poor management style",1,bad
Good training co. And worth it to stick it through,4,good
"Good Company, fast paced environment , room to advance and company stock offerings are very good",5,good
Great option for this who want to work outside of the NHS,4,good
company is great. upper management needs alot of work,2,bad
Great place to work with a strong  development career path,5,good
"Frustrating company to work for, lot of wasted business opportunities .",1,bad
Good Place to Start a Career - but get out fast!,2,bad
Avoid this company for employment and placement of your love ones.,1,bad
"Good training out of college, but not a career by any means",2,bad
"Plan, supervise and coordinate the operation and resources of the Personal Affairs Branch and the Identification Card",5,good
Blessed to be a part of this amazing firm,5,good
Run from this pit of Snakes! Go work for a real RR like Watco or a class one.,1,bad
Not  worth time for a person who need to work with a real company,1,bad
You will be a part of an energetic/passionate team.,5,good
"A place to be authentically yourself, if you can afford it",5,good
Expect a lot from employees with little in return.,2,bad
Proceed with caution when considering your next career move...,1,bad
Very unsatisfied with the management and organization of the company,2,bad
Reviews and manage purchase orders and supporting field reps with ordering and billing,4,good
"horrible, management attempts to grind all employees down to dirt",1,bad
Could be a lot better for a 100+ year old company,2,bad
Pockets of intelligence and collaboration in what remains a backwood hick organization,1,bad
"The current leadership recognize hard workers that make significant contributions, and promote accordingly.",5,good
Go elsewhere if you need support and want to avoid intellectual snobbery,1,bad
Curai is a family- a great place to work.,5,good
"Learned a lot, but wasn’t rewarded fairly according to market.",2,bad
"Great place to start a career if you want experience. But low pay, high stress.",4,good
"Wonderful people to work for, but salaries could be a tad more generous.",4,good
A Battleship that has yet to turn around in the right direction,2,bad
Worked with a lot of great people - however absolute labyrinth of mixed messages and lack of focus,4,good
"Really Investing in Employees and Culture, Even During Rapid Growth",5,good
"Sweat Shop, Union is a Puppet, AWFUL for a family values person.",1,bad
A good place to get your foot in the door.,2,bad
Okay - great & smart people slowed down by company procedures,2,bad
There is a reason why the Las Vegas Claims department is often hiring,2,bad
The Greatest Aerospace Company building the premium Jets in the world!,5,good
"Good starter job, but lots of cliques/bullies and no checks/balances",2,bad
Management needs to wake up before it is too late!,1,bad
"Little Job Security. Unless you don’t care about hurting others credit for personal gain, do not work here.",1,bad
Good place to start your first job and get experience!,4,good
The brand itself is about giving each guests a personalized experience.,4,good
"beware - decent training, however stay away from SBS, it is a meatgrinder",1,bad
"Great place to work, and you need to master relationships",4,good
"Bullied and suffered harrassment, poor teaching and research quality",1,bad
Farmers Insurance - not all it's cracked up to be,1,bad
This Unit is responsible for all Remittances that are used in the Bank for customers satisfaction..,1,bad
Good place to work but the D&I drive may be annoying and counterproductive,5,good
Publicis sapient is a good company and has good working culture and it takes care of its employees in a good manner,5,good
College students get to apply their learnings to real life problems,5,good
"Good work life balance, bad compensation and career prospects",2,bad
"Great company, nice people, long term prospects, good pay and awesome benefits.",5,good
"Not the best, but an ok job to break into resort/hotel industry,",2,bad
Great first job right out of college if no other option.,2,bad
Great company to work for with continuous improvement potential.,5,good
Great team to work with but not a lot of opportunities for growth,1,bad
B-B sales = complete mess / now a good place to be from,2,bad
Terrible - Stay away whilst they are in a downturn,1,bad
"Bharti is one the most brand , where we are blessed to work here , growth path is very strong",5,good
"If a low key job with low key prospects appeals to you, read on...",2,bad
My experience at HEB being a 4 year partner.,4,good
Pay is ok .. but too much indian poliics,2,bad
"Great work environment, but seniority plays a large role in workplace.",4,good
Best place to work and been with them for 9 years,5,good
"Good work life balance, Great place to start your career.",4,good
Rite Aid does not like innovation or new ideas.,2,bad
Awesome company with exceptional values & a bright future,5,good
"Immoral, horrible, experience. It will take a bit to feel normal again after leaving that unethical situation.",1,bad
"Poor employee incentives, pay and performance are not in line",2,bad
We work in a ever changing and challenging environment.,4,good
Its been a great experience working with EY for more than 5 years.,5,good
Good starting job for those interested in the financial admin sector,4,good
"With everything said, still the best years of my life",4,good
"Constant change, for change's sake, married with a lack of vision.",2,bad
"Not exactly a dream job, but there's for sure much worse out there.",4,good
Great company to grow your career and learn from the best,5,good
Why people are joint  to Schlumberger oilfields company. because it's the safest clear environmental place to work  to,5,good
"experience is very bad, they cannot be trusted,  you  don't get what you have been promised.",1,bad
service is market value customer support and company future.,2,bad
A good place to learn and grow as a junior engineer.,4,good
not exceptional in terms of work nor other things,2,bad
Not a worthful experience and no value addition to the career,2,bad
Work Life Balance and Stability in job profile is a challenge,1,bad
Great place to learn how souless and compassionless the financial industry can be.,1,bad
"Fastenal company is OK, but the Management in IDC (India Development Centre, Bangalore) SUCKS!!!!!!!!!!!!!!!!!!!!!!!",1,bad
Qualcomm is a place overflowing with expertise - surf the wave of controlled chaos,4,good
A great place to gain experience but not for a long term career.,2,bad
"Whole Foods Market is dynamic, nonetheless a gret kickstart job.",4,good
Great place to work if you get the right boss; like anywhere else.,5,good
"Challenging, but there wasn't any serious support or direction from upper management.",2,bad
the workplace culture was fast paced with a top-down management style and had unsteady policies and procedures.,4,good
"Not a Chemical Operator 
Translation: NOT a fake review.",1,bad
Great job is you have the patience for retail,4,good
Working at H&R Block has been a very positive learning experience,5,good
It´s just amaizing. Lot of benefitis and multicultural enviroment.,5,good
Too big of a company to enjoy independent work freedom,2,bad
"A great company to work for, just expect long hours.",5,good
"Opportunities for advancement, but cut-throat business in the CM world.",4,good
Good place to work. Not as much career growth as larger companies,4,good
"It was great, this company always had work for me",5,good
The best use case of AI to help students,5,good
"Okay place to work, the landry's policies ruin it",4,good
"A really great place to work, if you're serious about it",4,good
A Mill built on greed and taking the most,1,bad
It is the best of jobs and it is the worst of jobs,5,good
Good place to get your foot in the door,2,bad
"Great company to work, but definitely needs some improvement",4,good
"Horrible management extremely disorganized lack of understanding, favoritism and bias",1,bad
"Managers politics, your life will be hell if you are capable but not managers slave.",2,bad
The social experiment to hire to a HR P.C. profile and not the person continues,2,bad
"Worst job I’ve ever had, this company only cares about money.",1,bad
Best company to work with in general insurance sector,5,good
Worst company on the face of the earth. A total sham,1,bad
Why I've been an employee for over 23 years,4,good
"Great people, nice tech but no culture and a lot of pressure",2,bad
Boeing has the potential to be so much greater than it is...,4,good
extremely pathetic environment and even worst management....hire and fire,1,bad
Lots of IJP but less salary and too much work,4,good
"Great Company , proud to have worked for Nestle",5,good
It was fine and quite just did not see as a career.,4,good
A great place to work . . . 10 years ago,2,bad
Suddenlink has given me the confidence to reach for goals and be independent.,5,good
"Historically a great place to work, grow & have a career, the company became stagnant under Thompson's leadership.",2,bad
"Challenging work if you have motivation, initiative, and good communication and intercultural skills.",5,good
Have grown in the last 11 yrs and will continue to grow in the next 11yrs.,5,good
"Great place to work, but getting harder to do this in NYC",5,good
A good company that needs to maximize employee talent,4,good
Laughable Executive Management - Both Globally and in NA,1,bad
not much room for promotion.  senior management do not listen to rest of staff,2,bad
Has been a good experience till now. Work quality needs to be impproved.,4,good
it is great experience I  wood like to do,5,good
It's within your control to make the best of the opportunities available at Boeing.,5,good
Not a good  Place For a fresher to join,2,bad
"Okay at first, but later realized it's not as good as it seems.",2,bad
your employment will only last until they can outsource it,2,bad
Guild is a Progressive Mortgage Lender and a Great Place to Work,5,good
"Great People, Positive Work Environment, World Class Design and Engineering for Water Treatment",4,good
Join only if you are not serious about your career,1,bad
Majority of Team Leads / Senior Management do not have any leadership abilities.,1,bad
"Positive, lots of opportunities with good training and development",4,good
Best minimum wage job you can get after tips.,5,good
Very poor training environment difficult training to job transition.,2,bad
Very positive and caring company that meets challenges directly.,5,good
"Great entry level loan servicingjob, but pay doesn't compensate enough for workload.",4,good
"The Manila Investments is the most toxic and incompetent group of ""professionals""",2,bad
"If it's a question of survival in this world , join this company.",1,bad
Its a good company to start your career as you will get opportunities to learn different technologies,5,good
Inspirational and motivational place to work and learn technology.,5,good
Typical retail where policies are in place but never in effect,2,bad
"Train to help custopmers, in trouble for helping customers",2,bad
Amazing Place and a Privilege to be Part of Company,5,good
"Great company, great products but needs to focus on their EDGE to stay competitive",4,good
"First 5 years were great, last two years were nearly unbearable.",4,good
Not Interested in  maintaining human resources or physical assets,2,bad
"Too much work, not enough pay and advancement depends on who you know",1,bad
Regional and national events with iconic omnichannel department store,4,good
"Great place to work, but a complex administrative system",4,good
Toxic culture with poor leadership and no clear directive.,1,bad
Excellent 20 years plus continuous service with most updated tools in every transition.,5,good
Terrible Place to Work. Management (at all levels) has no idea what they are doing.,1,bad
Company with bags of energy and the right attitude towards its clients,4,good
"Fun laid back place to work, not necessarily full-filling though",4,good
"It's who you know, not your your work ethic.",2,bad
Not a lot of training and you get ignored,2,bad
Great work-life balance. Some bosses have been around for too long and excessively proud,4,good
"Awesome company to work for, could pay more attention to work life balance",5,good
Great place ro.work.as long as you never speak your own  mind,2,bad
Mostly a great experience - loved what I did and the people I worked with,4,good
Not the worst. Poorly ran. Number matter before common sense. Need to train!,2,bad
Not a good company to stay for a long time,2,bad
Commitment to Employees is high.   The HP Way is alive.,5,good
"Overall a good place to get your feet wet for an engineer, but not a place for professional development.",2,bad
Decent but still quite a difference between Zus oay,4,good
"If it sounds too good to be true, it is.",1,bad
Shady Sales Tactics / Unreasonable Upper Management / Favoritism,1,bad
Franchisees don't train you enough and then go passive aggressive,2,bad
Its very hard for one to work in Wipro,2,bad
"Paid well, but resources becoming more and more limited",1,bad
Challenging and fast paced environment that is very fluid.,2,bad
"Ok place to work, but be prepare for working with old technologies",2,bad
Easy place to get a little extra cash and savings around the holidays on the side.,5,good
If you don't challange yourself in the long run you may lose your motivations,4,good
It's great when you get a role that fits you a tee and where you feel truly valued.,5,good
A great workplace if you like to be around academics,5,good
Not As Good As It Looks On the Outside,1,bad
"Great place to work, despite lower take-home pay in some areas",5,good
I felt like I was on a sinking ship!,1,bad
"Great benefits, beginning to shift to common sense virtual work",4,good
Unrealistic Expectations -  They set you up for failure,1,bad
"Boeing became awful since merging with McDonnell Douglas, and will fail unless it can recover its engineering culture.",2,bad
Good if you want to start a career with 0 education or experience.,1,bad
Good for students or parents. Dead end for all others.,2,bad
"Employee focused, professional, fun contests and perks, great products and training. Most are long term employees",5,good
Great work atmosphere like one big family but not an environment for high performer,4,good
Good Work culture and the best learning Centre for Retail,5,good
A good working environment. Management  is always will to work with you.,4,good
HQ mentality stops staff in Australia being treated equally,2,bad
Great growing company that is adding a new building onto the site.,5,good
I agree to the Glassdoor Terms of Use. This review of my experience at my current or former employer is truthful.,5,good
1yr will give you 3yrs job experience anywhere else,1,bad
Don't do it. There are plenty of other labs in the area if you want this career.,1,bad
"It could get better, but it will probably get worse...",2,bad
12hour shifts only work 36 hours 3 days a week,4,good
Take a knee... it's the only way to advance,2,bad
"Good place to work, but not quick enough for ambitious professionals.",4,good
Had good days in wipro with my team and supervisours,5,good
Amazing opportunity to work in community pharmacy with a great company,5,good
"Great company to work, good colleagues, opportunity to grow",5,good
Best place to Work but not for a long term.,4,good
Don't join this company !! specially laterals.. too much of cut in salary.. take home is so so poor,1,bad
Fun worked for 2 years only left because I thought the Navy could be better.,5,good
Good if you are the beginning of your career. Take some good things only,2,bad
"Amazing culture, lots of room to grow, average salary",4,good
"My overall experience has been amazing; traveling the world, making great friends, and becoming successful",4,good
Prepare to be severely underpaid then outsourced or laid off.,1,bad
"Will burn you in the first chance they get,even if you’re a “valued” employee",2,bad
Great place for an internship and part time side job,5,good
Long Time Associate - Frustrated with Big Corporate Mentality,2,bad
An interesting place to work with tremendous potential if they concentrate on integration,4,good
Has it's ups and downs. Management is very shaky and turnover is high.,4,good
Experience is good but coworkers and managers left something to be desired.,2,bad
Sad look at the job opportunities afforded to the least in our society.,1,bad
"Good company, long hours depending on area of business",4,good
"Started off with high hopes but there is no room for progression in Landscapes, and severe workload problems.",2,bad
Former Head Office team member - would not recommend,1,bad
Joining them in US on H1B; Beware; Read the review,2,bad
"Overall, a good employer to work for. Modest salaries are balanced by benefits and relative job security.",4,good
"Some good, some not so good, with constant change without a real vision",1,bad
Started out with outstanding leadership and since gone down hill.,2,bad
Decent place to work if you don't mind long hours,4,good
"If you value your mental health, don't work at corporate advertising.",1,bad
"Horrible management extremely disorganized lack of understanding, favoritism and bias",1,bad
"Cs is a great place to work, especially part time.",5,good
Wolters Kluwer - big bureaucracy with people not really speaking to each other,2,bad
It was very nice and good aspect for growth.,5,good
Worst company with worst management people especially HOTs CTO COO all mentals under one roof,1,bad
Great Job as long as there is money in the budget for you.,4,good
"GAME & BELONG: Great Banter, But That's About It.",2,bad
Giving it 1 star for the sake of it,1,bad
In between a call center job and a big boy sales job,2,bad
I have never been treated with such disrespect that the way I was treated at Giant Food,1,bad
Every day was a day I'd rather be dead,1,bad
"Zero hikes, zero promotion/ growth prospects - avoid at all costs",1,bad
"The members are great, but leadership needs to work together to produce maximal results",2,bad
"Great company, but business model not a good fit for me",4,good
"So awful, I went home and cried about it.",1,bad
Risk Assurance Manager with specialisation in SAP security and authorisations for SAP HANA and S4,4,good
If you want to know people...this is the job.,1,bad
"Poor Management, Fail to deliver on promises. Worst Sales Environment I've ever had!",1,bad
Good company to start up with and excellent training.,5,good
Good Staff Collaborates Well and Does what makes sense for students,4,good
"I would not recommend working for this company to anyone, not even my worst enemy.",1,bad
"India's largent engineering, Great Company to work for. Most admired company. Employees are taken care here.",5,good
Moving your professional and personal life to the next level,5,good
"Serving at a chain restaurant, nothing more nothing less. (Fun and awful at the same time)",2,bad
New York investment Waste of time and money.  Worst place I've worked in 25 years.,1,bad
Amazing place to sharpen skills and stretch your ability,5,good
"This company loves to screw with your paycheck, loves to take advantage of you, and abuses your loyalty.",1,bad
Best place to be during your college and Early 20's,5,good
Excellent place to work with some of the most intelligent people in the industry,5,good
It is great but the pay is very less comparing to industry standards,4,good
It’s a big machine that doesn’t care about people… Just money,1,bad
"A perfect company to work for, taking a great care of their employees.",5,good
"Not very good, low hours and minimum wage pay",2,bad
"Many toxic people, loads of legacy projects, low salaries",1,bad
Great company community involvement and opportunity to move up,4,good
A hostile work environment and lack of regard for the law.,1,bad
My first company as a fresher out of college,4,good
CME culture and morale used to be fantastic with happy people. CME Group has squashed that with the megacorp environment,2,bad
This employer will literally suck the life right out of you,1,bad
working at Cerner is all about which team you are working for,1,bad
A McDonald's employee is treated better than at+t treats its employees!,1,bad
"Overall, a good place to work for a developer",4,good
"Perfectly suits "" Work hard, have fun and make history""",5,good
Good for those interested in a Retail/ Corporate career,4,good
"A Small ""Bootstrapped"" Company That Acts like a Corporate",1,bad
Aimee Faucett is one of the most incompetent individuals in the region,1,bad
"If you prefer managing up over doing good work, this is the place for you.",1,bad
I enjoy being an enlisted member of the Air Force,4,good
good place for people who want to learn more about AI,4,good
System Administration at UNT System (ITSS) – your mileage may vary,2,bad
Its no work at all most of the time.,1,bad
"It's all right, but there are some bad customers",4,good
Work like a product technology organization in Cisco ODC,4,good
"The people out there, are so friendly and cooperative.",4,good
Excellent company to work for an get a degree!,5,good
Not a company to stay with in the long run,2,bad
"A very positive, results driven environment with professionals who took their positions seriously.",4,good
A great opportunity to learn and grow with the company,4,good
Won't Work Here If I Had to Choose Again,1,bad
Want a challenge on every level?  This is your place.,1,bad
I've been working with them for a couple months,2,bad
How is this lab still CAP and CLIA certified?,1,bad
A good company to start with but you must move progress,2,bad
Uber corporate MX - Marketing team - Great place to work!,5,good
Asked To Leave After I Wouldn’t Date My Supervisor,1,bad
A rewarding career that anyone can be proud of.,5,good
You must be White to suceed in BATH BODY WORKS,1,bad
"Very talented and nice team members, lacking execution focus",4,good
Great established company with a ton of extra benefits,5,good
Randstad Technologies helped me professionally by broadening my experience base and allowing me to explore.,4,good
"Worst job I’ve ever had, this company only cares about money.",1,bad
Why would you hire someone who you let go in 1 month?,1,bad
"Amazing, except when it comes to the talent referral process",4,good
Micromanaged CAC that is beyond fair. You will be treated like a child while having to walk on egg shells everyday.,1,bad
Creativity dies here. Join if you want to push papers,2,bad
good place to work if you can work at their pace,4,good
"Good if you are mediocre, not quite so otherwise.",2,bad
Really enjoy the people I work with and the work that I'm doing!,5,good
"Great at first, but inconsistent with direction for sales team. Disappointing.",1,bad
Very stressful environment and not made easier by poor management at my store.,2,bad
Handling Sales and Distribution of Foods division for Pune CITY,4,good
It is one of the greatest oil/gas company that has wellknown Clients & subcontractors,5,good
Culture is much like what you would expect in a large investment bank,2,bad
I worked at Dexter Systems (Virginia) full-time (More than 18 months),4,good
Let GO after 21yrs of excellent service. No evidence provided of wrong doing. No support by my current management.  Horr,1,bad
Demoralising experience. Think long and hard before working here.,1,bad
It was a great career following a career in the United States Navy.,4,good
Such a good place to work if you have a good manager,5,good
"well-respected, professional, well-known, leader in healthcare delivery to Indiana Hoosiers",5,good
Abysmal Management structure - some nice managers and people,2,bad
Old school culture without a clue how to compete in modern business.,2,bad
Very Good Place To Work As A Starting Job,4,good
Great Paycheck & You Get To Work  From Home.... But Not All That Glitters Is Gold! You have been warned!,1,bad
Review for Autodata Solutions: Run far far away from this company,1,bad
Great Workplace - Very Happy to be a part of it,5,good
Apparently HR has more say than engineers about their own career path,1,bad
You Do Not Want to Work for this Company!!!!!!!!!,1,bad
It has its good points and bad like any job.,5,good
Scary the lies and deceit from a company that processes clinical studies.,1,bad
It's good company but if you have good bosses....,2,bad
I obtained a great deal of knowledge for the logistics industry through my employment at Agility Logistics.,4,good
Being in the Air Force has only changed my life for the better.,4,good
As compared to other giant IT MMC's Infy takes better care of ite employees.,4,good
This company is a wonderful company to work for and that is why there are so many long time employees!!,4,good
Positive work environment with plenty of opportunity for those who enjoy sales and are willing to work for it,5,good
The pay is good for the area. There's a lot of hardwork,5,good
"The job is ok, but the management system is messed up.",2,bad
Average company promoting itself to be premium search org,2,bad
Strong team work and support with work balance and quality of life,4,good
"No salary progression or career plan, however the team atmosphere was excellent",2,bad
Has Potential But In Need Of A Business Overhaul,2,bad
Sage has nowhere to go but up. I hope Sue can achieve that.,2,bad
"Regular layoffs, No new projects and technology to work",2,bad
Started out good but ended bad.  It was out with the old and end with the new,1,bad
"Stay away from this Company at all costs! If you get an offer, remember - they will hire anyone who is breathing.",1,bad
"Great opportunities and great people, poor compensation and work life balance.",4,good
"Great job for college students, or people who night owls and enjoy working graveyard shifts.",4,good
If you have any self respect do NOT apply for a Job here!,1,bad
Store manager - Run as fast as you can.,1,bad
"Great ""WAS"" Company high on outsourcing and low on quality",2,bad
A good starting job but not a good job for work/hime life balance,2,bad
"Not the worst, but certainly not the best place to work......",2,bad
good company if you are under a good manager,2,bad
Join if you have no other option at all.,1,bad
I am so glad I left Ultimate and started working again for a Silicon valley company.,2,bad
Really frustrated to join and work as a BA here in Altisource.,1,bad
"A good place for growing, but not a very competitive environment",4,good
Good place but salary quite low as compared to industry standards.,2,bad
worked more than one and half an year into sales,4,good
They talk a good game but don't believe the hype!,2,bad
"This is the nastiest, most unethical, out of compliance, illegal, disorganized HR environment you'd ever come across!",1,bad
"Being a 3rd key is nice, because you pretty much have set hours",4,good
Absolutely no help from any of the other managers during training weeks.,2,bad
The company is big but questionable management across the board.,2,bad
"Bad HR, hiring, and management create an environment where it is associates vs. management",1,bad
"Work here if you absolutely have to, otherwise please consider some other company",2,bad
"Depending on your department, there might be no work life balance",2,bad
No bonuses permitted for the junior staff (marketing managers etc),2,bad
It is kind of stagnated company......Very slow growth rate,2,bad
Good environment but sometimes boring. Lack of team activities,4,good
"Good for a first job, not a good career",4,good
Great Way to Get Foot in the Government Job Door,4,good
"Some very good people, some not so much, absolutely the worst company I have ever worked for.",2,bad
"terrible place to work, lie to customers non stop",1,bad
Very intensive and creative way to embark every employee to the company.,5,good
The people that actually do the work are great people. The production manager on the other hand is a complete idiot.,1,bad
A theme park with an identity crisis that over-complicates the simple things,2,bad
Excellent & Fun Place to Work! Values Family Obligations,5,good
Bad  and incompetent management at Newport Corporation Irvine CA,1,bad
"Good company to learn with bright future, but be ready to put a lot of extra hours and live in high stress",4,good
The Change that has Occurred within this Company is ruining it,2,bad
Pb and Pb2 review: If you can survive here you can excel anywhere else!,2,bad
If you are still at HRM ...look harder to find something else,2,bad
"little care for suggestion, progression or new ideas (McLaren Automotive not Group)",2,bad
Pathetic Pay and Forced to Adhere to Ineffective Curriculum,1,bad
A very engaging and diverse company committed to development and growth of its employees as well as the community.,5,good
"Staples is the land of opportunity! For it's associates, it's customers and it's investors!",5,good
"Avoid General Dynamics SATCOM Technologies Richardson, TX like the plague.",1,bad
finance department has fools in it including the management,1,bad
"Part-Time, Good for learning & working along with classes",5,good
Great place to learn product management skills but cut throat,4,good
It was a good experience but do not apply if your looking to make alot of money because your not going to.,5,good
NC State Laboratory for Public Health MLT Position Review,1,bad
Fast paced with opportunities for experimenting with new ideas,4,good
Sears Has Filed For Bankruptcy in US. Its a sinking Ship now.,2,bad
A great company fighting industry decline; cultural pros and cons,2,bad
Good Company to learn but if you can work a lot. This company for you,4,good
They are very dishonest and rip people off. They don't. Care if they intentionally hurt. And kill people.,1,bad
This is a wonderful organization to be involved with.,5,good
Starbucks has been such a lovely place to work.,5,good
"Great environment, must be dedicated and love cold calling",5,good
"Best Buy- Great for H.S./college years, but definitely not long-term!",2,bad
Best company to be next on producing the next EV outside of traditional OEMs,5,good
"It was a 6 month co-op, and I feel I was very exposed to company politics.",4,good
the worst job ive ever had and ive worked for amazon,1,bad
That is a great environment to start your IT entry level job.,4,good
I am a CSR (Customer Service Representative) and I acually really love my job here and my team!,5,good
At the beginning Deltek was a great place to work until they were sold October 2012,2,bad
One of the worst HR environments I ever work in,1,bad
Best place to work atleast once in a lifetime,4,good
"The Army provided me with the tools enabling me to construct a solid foundation, to obtain a successful career",1,bad
"Many responsibilities. Everyday is different. Collaborate with GM, Prestige Manager and Salon Manager.",5,good
Come work here if you want to be talked down to and demoralized!!!  Drive home crying!! It’s the best!!!,1,bad
Worst company for fresher with whole system is corrupt,1,bad
NICE is not as nice as it use to be.,2,bad
I get what I need but not what I want,4,good
Global organisation with a focus on care and sustainability,5,good
Decent Pay if you can tolerate the culture and  management,2,bad
One of the best firms I have ever worked for!,5,good
You will regret working here. Do everything in your power to find another job.,1,bad
"A lot of responsibility, not a lot of reward",2,bad
ATL Ultrasound was great but Philips is only interested in money (not quality,2,bad
you barely find a company that is so employee centric and easy to work with. Great experience.,5,good
"Terrible management, favoritism, little room to advance past team lead.",2,bad
Company doesn't want to pay you what you are worth,1,bad
Excellent company to work for and benefits are outstanding.,5,good
Data Services - Bangalore - Worst place to work,1,bad
The name carries some weight on your resume but the company has not stayed relevant in the aerospace industry.,2,bad
Under paid with toxic work culture - Great benefits,2,bad
Great company if you work anywhere but retail level at banking centers,1,bad
Great place to work and advance in your career,5,good
Work in group strategy supporting most critical projects in the organisation,5,good
"You close at 9, but expect to stay till 11:30",2,bad
Serving the needs of the Brigham Young University campus.,4,good
LPN's should not be in charge in clinical setting,1,bad
Tier 4 background check that they don't inform you about,1,bad
Pay is good but understaffed as all places are lately.,4,good
"The Best Small Community Hospital, extensive services, great location, management  andstaff",5,good
I never been treated so bad by an employer.,2,bad
Tax preparers with very limited tax knowledge and training,2,bad
If you have NOTHING else going on in your life-work here,2,bad
Work Harassment for other state persons in Department by reporting manager/department head.,1,bad
Toxic Leadership / overworked due to constant restructuring & lack of direction,2,bad
"Great if you are a driver, not so great otherwise",4,good
"Recently transferred to the new office in Denver, best decision I ever made",5,good
working for chase is great if you work hard!,4,good
"No Work life balance , management just push developers to get Work done",2,bad
Great Company with lots of opportunities to promote quickly.  Don't believe the bad reviews.,5,good
Exciting place to work with great opportunities for growth.,5,good
Diverse working place that is a joy to work in.,5,good
NQAC York: The most awful place to work ever...,1,bad
Great place to work with a good work life balance,4,good
"Upper management not in touch with situation ""on the ground""",2,bad
Not the job you think it will be. Read the real reviews (the 3 stars or less ones) and be cautious.,2,bad
"If they don't drive it into the ground, I will be surprised",4,good
New store in Montreal prior to pandemic (quit March 2020),1,bad
"In the last year and a half not a positive work environment, lots of turnover.  Too much change & poor enforcement.",1,bad
"This organization likes to lose money, it's in their DNA as is an underlying level of hypocrisy",1,bad
Oracle is a challenging and rewarding company to work for,4,good
Thanks so much for supporting to working with your company,5,good
"Promised a college freshman 20 hours , got only 5 hours per week!",1,bad
Cisco is one of the best companies to work for as far as work balance life.,5,good
"Great for some, but beware if you are in a Customer facing position",4,good
Accommodating company that allows growth but does not actively encourage it.,4,good
Transferring the employees unnecessarily and not adopting offline working methods,4,good
They did not tell me when I was directly exposed to COVID,2,bad
"Great benefits, pretty decent flexibility, horrible hours, low pay",4,good
"""The Very Best"" is lip service.  Show me the money is the new company motto!",1,bad
IBM culture is the best! Trust and personal responsibility in every relationship.,5,good
EID Internship: Great for career development w/ competitive salaries,5,good
Employee Friendly Policies but Double Check team for politics!,4,good
