text,label,label_text,text_length
Excellent placement but doesn't prove much help thereafter for talent,4,good,10
"Great work life balance, big slow machine",4,good,7
"Great company, generous leadership, internal mobility",5,good,6
Amazing. Couldn't ask for a better company to work for.,4,good,10
"Its ok, but your experience really depends on the team you are assigned to",4,good,14
It was a fun ride. Lot of up's and down's,5,good,10
Moved from a good federal job to an even better one at Cabelas,5,good,13
An ok place to wokr with,5,good,6
Urban Planner for the City of San Diego,4,good,8
I'm international so I would work for peanuts but they pay pretty well,5,good,13
Bank of the West helped me to take my career to the next level.,5,good,14
Great place to start in the industry,4,good,7
Nice Company taking shape of a big MNC,4,good,8
"Great team, nice office and multiple business area to work",5,good,10
Absolutely the best place to work on,5,good,7
Solid Sales Experience and Nice Schedule,4,good,6
Not the worst thing I could've done with my life....,4,good,10
"Good culture, more can be done for resource management",4,good,9
"Good training, alright management, amazing coworkers",4,good,6
"Product seemed solid, but everything ended badly",4,good,7
Can be tough with bad managers,4,good,6
"good company to be with, flexible, nurse on site, vote on working on holidays or day before/after instead.",4,good,18
"Great place to work. Competitive salaries, great people and good benefits.",5,good,11
Life Changing Company to work for,5,good,6
Get to work with lots of good people,5,good,8
Company that makes history with an incredible vison,5,good,8
"Excellent work life balance, poor pay",4,good,6
Great place to work with an amazing culture!,5,good,8
Good place to start a career,4,good,6
Excellent place to work for an engineer,4,good,7
Borgata Treats Their Employees Better Then Most Of The Others Casinos,4,good,11
Fast Paced But Rewarding With Hard Work,5,good,7
great company worked in 2 countries love them as employer,5,good,10
Student Account and Parking Service Representative,4,good,6
Cintas is a reputable company    Good benefits,4,good,7
Good place to work for student,4,good,6
Good pay except when laid off,4,good,6
Great place to learn n earn,4,good,6
2 year and promotion fastly senior sales associat,4,good,8
Great work life balance with benefits,4,good,6
SF PHD - great place to work,4,good,7
Hp Inc is a good company,4,good,6
Good place to start Sales Career.,4,good,6
Good company in office type roles,4,good,6
Great to be part of zoho,5,good,6
Great company. Room to grow. Good people!,4,good,7
Amazing Work Culture and Work life Balance,5,good,7
MBA student at Imperial COllege London,4,good,6
Great company who really value their staff.,5,good,7
A pleasant and friendly company to work at. Great Manager and co-workers,5,good,12
You make the best of your time there.,4,good,8
This is a great place to start a corporate career.,4,good,10
Great company to work for as a consultant,5,good,8
U.S. Attorney's Office for the District of Colorado,4,good,8
It has been amazing learning experience,5,good,6
Success at job depends on relationship with manager,4,good,8
You make the experience what you want to,4,good,8
Not too bad of a job.,4,good,6
Good for a high school student,4,good,6
This is a great place to build a career.,5,good,9
"Great company for learning about ecommerce, search, and big data",4,good,10
A fun job but not a forever job,4,good,8
Probably the Cream of the Crop for Real Estate Companies,4,good,10
Good place to learn and grow while maintaining balance with life,4,good,11
great place to work - great people and great product,5,good,10
Good place to work if team is good,4,good,8
Dominion Enterprises is a wonderful company!,5,good,6
United Rentals -- Come with us and we will lead the way!,4,good,12
Capgemini is a good place to learn and Implement,5,good,9
One of the best places I have worked,4,good,8
Applying for the positions graphic design,5,good,6
"Stable, challenging, and opportunity for growth",5,good,6
Good Place to start your career,4,good,6
It is great to be a part of the Harvard community. Very good employer.,5,good,14
"Make coffee, handle cash register, warm food, handle drive through",5,good,10
Friendly Company but sometimes lacks organization,4,good,6
"Centerplate is a corporation with good checks and balances, pay and attitude.",4,good,12
Home Depot Store Support Center Does care about their associates...to a degree,5,good,12
Good place to work but upper management doesn't have a clue of how the processes work.,4,good,16
Data Science Team is very good,4,good,6
This company is very laid back and fun to work for.,4,good,11
One of the best places to work,5,good,7
customer service specialist / call center agent,4,good,7
"Great people, great products not customer focused",4,good,7
Good Place to Work but need more diversity,4,good,8
Good and congenial place to work,5,good,6
"•	Developing and expanding market of Wheat flour, Soaps and Cold Drinks",5,good,12
Asia Pacific Recruitment; Immigration (DSO/ARO) and Asian Programs,4,good,8
Lots of work but good colleagues.,5,good,6
"Great People, Good Company, Room to Grow",5,good,7
"Complete plant management, cost, quality, safety and Financial results",5,good,9
Provides opportunities that you would not get anywhere else.,4,good,9
Good work life balance and perks,4,good,6
Good company for career with perks,4,good,6
Great place to start a career or join later in your career,5,good,12
Grupp is a banking as a service platform,5,good,8
NG as a Part Time Intern,5,good,6
Lots of work but good colleagues.,5,good,6
Good place to work in some districts,5,good,7
Associates & Customer at the center,5,good,6
Amazing place to kick-start your career,4,good,6
Favorite attorney position I've held (began practice in 2013),5,good,9
Coforge - The best place to work!,5,good,7
I worked at Hewlett Packard Enterprise | HPE full-time (More than 3 years),4,good,13
Good place to wrok with in calm times,4,good,8
Great place to be in Sales,5,good,6
A pillar of the industry with a plethora of resources,5,good,10
Family environment where everyone is the teacher and student,5,good,9
"VP, Event Marketing & Group Travel",4,good,6
Nice company to work for in Tampa.,4,good,7
Slow downward spiral wrt HR policies now,4,good,7
"Great culture, benefits can be improved",5,good,6
"fast pased retail sales. not bad, but not great",4,good,9
Company is good they offer good package to freshers best company for learning.,5,good,13
Steady Work with Great Team Members,4,good,6
A hard working woman who wants to work,5,good,8
It is exciting to be part of such a technologically focused yet multi-faceted company,5,good,14
Competent personell but risk investment owners,4,good,6
"Great people, few possibilities to grow",4,good,6
Good work-life balance in exchange for 2nd tier shop,4,good,9
Process and change management for clients that undergo IT and business changes.,4,good,12
Good experience especially in comparing small business to big corporations..,4,good,10
Great company for financial and personal growth,4,good,7
A Wonderfully Refreshing Place to Work,5,good,6
Great place to grow your mobile development career!,4,good,8
Great work atmosphere and a place to build a career.,4,good,10
"Great place to be a graduate student, but can be stressful.",4,good,11
good place to grow and learn,4,good,6
Great place to learn about new technologies!,4,good,7
"As employers go, Milliken is the best!",5,good,7
Very nice culture and ok quality of work,4,good,8
I have been using some products from nike and they are really good and long lasting,4,good,16
"Good pay and leave, stressful job",4,good,6
I don’t know what a review title means.,4,good,8
"Verizon wireless is a fast paced, performance driven company with more pros than cons.",4,good,14
Good work-life balance as an account manager,5,good,7
Working as a Technical Lead in storage domain,4,good,8
good company to work in with good working environment,5,good,9
Best pay-work-life balance you can find north of the border,5,good,10
Overall happy for a law firm,4,good,6
Good Place to Work but Currently Turbulent,4,good,7
Great place to grow as an engineer,4,good,7
Great company to grow in early stages of career,4,good,9
The company Comfortable to work at,4,good,6
A solid company that offers career opportunities.,5,good,7
Good working Atmosphere and supporting Management,4,good,6
"Good to work, but very hierarchical",4,good,6
Teaching in Chandigarh University's Mechanical engineering department was a very rewarding,5,good,11
No better time to be in Cloud Communications!,5,good,8
"Not bad, but could be better",4,good,6
Neck break pace from time to time but overall very good environment,5,good,12
Frontier is a good place to work.,4,good,7
Good Entry Level with Growth Potential,4,good,6
A great person centered company to work for,5,good,8
Fun team environment in the insurance industry,4,good,7
Charming and lot of growth opportunities but..,4,good,7
Good place to earn part time money,4,good,7
Great job. Wish it were more stable,4,good,7
Here I can learn a massive knowledge about marketing,4,good,9
"Great bank to work for, great company culture",4,good,8
Great place to work for some,4,good,6
Outstanding Culture/Vehicle Hedges Against Inflation/Great Benefits,5,good,6
Wish I could do 4.5 stars,4,good,6
State parks are great for summer employment,5,good,7
Solid waste can be a rewarding career.,4,good,7
A pretty good Part time gig,4,good,6
Good company to start your career,4,good,6
Growing company with lot of scope of growth and superb Work Life Balance,5,good,13
J Crew has been amazing so far this past year.,4,good,10
A good one-time work opportunity - not recommended for a whole career,4,good,12
International company that takes care of it's employees,5,good,8
A great company with it's heart in the right place,5,good,10
"Amazing people, working on a business you'll be proud to be a part of",5,good,14
Not Bad - Good First Job,4,good,6
Good growth opportunities - Great experience,5,good,6
Not the worst job I have had.,4,good,7
My stay at Tesco was more like a cool joy ride with balanced work-life ratio and a pure MNC culture,4,good,20
Good company to join as a fresher.,4,good,7
Great job and great place to grow - but you have to love it,5,good,14
Great Company for first time truckers,5,good,6
"Challenging Workplace, Keep you on the Toe",5,good,7
Great place to be a part of,5,good,7
Amway has provided me with an amazing learning and growing experience.,4,good,11
It depends on the Manager but HCL is now working hard to establish a good and nurturing work environment,4,good,19
"I improved my computing skills, and knowledge",5,good,7
Nasdaq is a great place to work,5,good,7
the company takes care of associates and treats management with respect,5,good,11
Challenging and learning experiences in a fast changing business.,5,good,9
Good but too large for me,5,good,6
Lots of work but good colleagues.,5,good,6
Good place to earn the experience.,5,good,6
A good company to work for,4,good,6
Not too bad. Like the experience,4,good,6
Good entry level to retail environment,4,good,6
"Solving hard problems, working with great people.",5,good,7
Good company with nice company culture,5,good,6
"good place to work, great people",4,good,6
What it was like for me at Safeway.,4,good,8
"For those unhappy ""Interns"" with negative reviews",5,good,7
NetApp allows employees to accomplish great things & rewards them for it,5,good,12
Fun company culture but difficult to keep up with all the company changes,4,good,13
Standard Banking experience with above market compensation,4,good,7
Great place to start a career,5,good,6
I love working at Hydro Flask!,5,good,6
"Excellent place to work, if you are talented and hard working.",5,good,11
"Great job, great town, poor management",4,good,6
Great company where I can make a difference,5,good,8
"Positive work environment, awesome culture & credo focused",4,good,8
"it was great, nice people, loved going in",4,good,8
Great Place for a Finance Career,4,good,6
An excellent place to build a career.,4,good,7
Good way to gain work experience,4,good,6
Good salary/bennies; Inadequate understanding of employee engagement,4,good,7
Good experience but it could have been better,4,good,8
Employee friendly and great place to work,5,good,7
Best company to learn starting level knowledge of financial markets.,5,good,10
"Good first job, but stayed for the people",4,good,8
It was existing as i spent my initial years here. Very good company for freshers. There are lots of training.,4,good,20
One of the most employee friendly company but...,4,good,8
"Thoroughly positive experience. Well managed group, interesting people, interesting work challenges.",5,good,11
A.G industry tooling division  injection mould manufacturing nd maintenance,5,good,9
"Good place for analysts, consultants, and leadership",4,good,7
What an unbelieable journey and career that Regus has afforded me for the last 13yrs.,5,good,15
Genuine relationships and positive atmosphere from the very beginning.,5,good,9
Great opportunity for this mid-level professional who was looking for a lateral move within UPMC,4,good,15
Great possibilities to develop and learn at different industries,5,good,9
For Freshers - Its a good company to startup,4,good,9
Camden is a great place to work!,5,good,7
Student friendly environment of academic and spiritual development,4,good,8
"Great Job, Great Company, Great Environment",5,good,6
"Good experience, don't expect much from above and you'll be happy",4,good,11
Its set up well to succeed,5,good,6
Great experience with lots of opportunities!,4,good,6
"Love the Company, but not the Management",4,good,7
Tough Company with some good techies,4,good,6
BOFA the best place to work,5,good,6
Not what they used to be,4,good,6
"Air Force E5 Salary (1yr Exp, 4yr Service)",5,good,8
Nice environment to work.  People are willing to teach and share experiences,4,good,12
Motivational environment with lots of opportunities,4,good,6
Great people fantastic training amazing products,5,good,6
"Great flexibility, some managers very numbers focused",4,good,7
Company Culture Needs to Catch up with Company,4,good,8
Great place to advance your career,5,good,6
"Pays well, high competition within company",4,good,6
Immediate teams are great to work with,4,good,7
"Great people, benefits and work/life balance, with good work schedule flexibility; no upward mobility or clear vision",4,good,17
Well run big company but political,4,good,6
Good place to start your career,4,good,6
Graphon / hopTo is the best place to work at!,5,good,10
"Flexible job, helpful for students on campus",5,good,7
"Very satisfied, great working hours, possibility for overtime",4,good,8
"Great technology, great company, expanding markets",4,good,6
Its a great organization to work,5,good,6
"Slow pace of work, but good to manage work life balance",4,good,11
Great place for high school/college kids,4,good,6
Nice place to work nice environment,5,good,6
The job is what you make it.,4,good,7
Greatest place to work in STL,5,good,6
BlueArc used to be a wonderful place to work,4,good,9
"Great place to work, lots of perks and the people are great.  Salaries are below market standard.",4,good,17
13  years and still loving it!,5,good,6
Great place if you want to work if you want to learn and grow,5,good,14
Best Fast Food Corporation I’ve Worked For,4,good,7
Innovative Spirit and Leader in Higher Ed,5,good,7
Excellent opportunity to learn and grow as an engineer,5,good,9
Stable and family culture but start to change,4,good,8
Friendly and very Appreciative of the work I do.,5,good,9
Great place to work & a great company with which to partner!,5,good,12
Hands on experience in Reconciliations and closing of books,5,good,9
"Great place to work!  Work, Balance Highly Enforced",5,good,8
Remote Technician for Telecom Systems / Applications for Germany and Austria,4,good,11
Why I love working at HumanEdge,5,good,6
Great company to work for with a great discount,4,good,9
It is great working at McKinsey,5,good,6
My time at Target helped me build as a leader.,4,good,10
"Good Company, Needs more focus however",4,good,6
Great company to jump start career!,4,good,6
"Managing customers, keeping files in good standing; selling additional products",4,good,10
My experience as a scientist here has been very positive,4,good,10
"Not bad, but could be better.",4,good,6
It's a good company with good pay.,4,good,7
Collaborative work place and great respect for ideas,5,good,8
Pay is good. Workload is heavy,4,good,6
Staples advantage - inside business developer,5,good,6
"IF YOU CAN SELL... LIKE PEOPLE.. ENJOY ELECTRONICS AND CELLULAR PHONES, THIS IS A GREAT PLACE!!",4,good,16
The ability to initiate and drive important business projects that are aimed at better serving clients,5,good,16
I always have a great experience at Hollister!,5,good,8
"Been here for 3 year, recently promoted to General Manager.",5,good,10
"Good place to get started, can become a trap.",4,good,9
Good experience in the on boarding process and overall work,5,good,10
Industry leader with room for improvement,4,good,6
A lot of work but good pay for it.,5,good,9
"While monetary compensation is low compared to similar jobs with other companies, the benefits are unmatched.",5,good,16
Rewarding work in a good environment with opportunities for those who perform,5,good,12
Great place to work as a student,5,good,7
After having 3+ years of experience,5,good,6
High level university with low salary,4,good,6
Good job while going to school.,4,good,6
A truly great place to work,5,good,6
Kfc is the best for me,5,good,6
Good employer if you like large corporation structure,4,good,8
"Very good work place, prestigious brand name",4,good,7
Great place to learn how to scale,4,good,7
Working as Team Leader for last three years,5,good,8
Great place to work for people who value work life balance Nd stability,5,good,13
"Strong company, good benefits, average pay",4,good,6
IBM is like Govt org. you will get the freedom here,4,good,11
Have worked 5.5 years with the organization,4,good,7
I worked with a very professional group where teamwork and collaboration were valued and practiced,5,good,15
Good place to start your career,5,good,6
Great place of work with a lot of good opportunities,4,good,10
"Lots of Leadership and professional development opportunities, but do not neglect networking with leadership from Day 1",4,good,17
Good work life balance but understaffed and underpaid,4,good,8
Kohl's Part-Time Sales Associate Review 2017,5,good,6
Great Job to improve your sales experience,4,good,7
"A good place to work, but not a good place to have a career",4,good,14
"Understanding people, they put the customer first",5,good,7
Chill job for a part-time college student.,5,good,7
They kept a sinking ship afloat,4,good,6
Deal flow not ideal but good culture,4,good,7
Fun and inclusive and challenging environment.,5,good,6
